"","avg_1","avg_2","avg_3","med_1","med_2","med_3","var_1","var_2","var_3"
"1",657.869879518072,187.918072289157,104.910843373494,322,94,53,558661.910563995,46512.0512426518,14646.6949304464
"2",612.185542168675,177.78313253012,100.975903614458,349,99,55,467204.905104476,44038.3972993423,13092.487340667
"3",581.797590361446,162.766265060241,95.6819277108434,330,94,55,401165.857482102,31319.387265002,9894.0193585938
"4",567.951807228916,166.031325301205,93.9590361445783,246,70,41,609117.693324021,56093.5811419591,16739.9186077644
"5",566.828915662651,160.395180722892,93.3060240963855,344,104,55,317322.750852686,25702.4424887958,8894.66216169024
"6",501.751807228916,147.939759036145,85.2674698795181,228,66,40,382068.486560736,36131.4770385891,10811.2108957569
"7",532.624096385542,158.004819277108,90.9903614457831,300,82,50,394064.104731971,31045.3719573948,9499.96609044875
"8",584.433734939759,177.939759036145,98.7060240963855,353,88,55,403864.618182876,38680.5639951109,10984.4882486468
"9",640.515662650602,188.436144578313,105.893975903614,333,86,53,509604.540213026,46044.5170479018,13614.7278621733
"10",565.019277108434,159.544578313253,92.2481927710843,304,77,53,362011.390931843,31078.1036843024,9194.68945928642
"11",572.219277108434,164.057831325301,97.1759036144578,311,88,49,390390.021849718,33822.1029276526,12012.6332343868
"12",560.185542168675,169.081927710843,98.9397590361446,304,80,51,393378.006553751,46480.2589721204,14054.1920144345
"13",581.248192771084,163.431325301205,98.3301204819277,320,94,55,381452.583179093,31701.772446307,12025.154042256
"14",658.592771084337,190.621686746988,110.689156626506,358,102,61,525609.705744718,41358.4145043944,14647.2388917991
"15",590.520481927711,164.604819277108,96.3132530120482,326,90,52,419137.989313777,32336.9497351726,10766.9596065421
"16",660.918072289157,192.173493975904,111.802409638554,402,105,66,424202.03191898,41869.0857691636,12808.1154531168
"17",639.081927710843,189.946987951807,110.775903614458,369,109,65,454914.775880333,41873.1227867994,13029.7733310052
"18",602.980722891566,169.426506024096,102.578313253012,318,88,58,459576.487550201,36388.993981724,12151.3169198533
"19",619.361445783133,174,105.028915662651,317,85,49,588703.873872301,56153.3140096618,18149.8155869856
"20",566.04578313253,158.655421686747,97.5301204819277,312,78,48,394352.468913334,35477.6998195681,14078.47674757
"21",591.060240963855,163.710843373494,93.7277108433735,308,95,52,391227.559164193,27200.5055584657,8993.83630754904
"22",617.624096385542,178.496385542169,107.09156626506,263,76,41,794623.496036319,69389.3520400442,24425.7742040626
"23",667.402409638554,177.869879518072,105.359036144578,361,102,57,488166.946370991,33803.3018683429,12120.462569117
"24",663.207228915663,200.120481927711,111.604819277108,343,94,56,735432.47386066,78605.4057388976,20590.9400733368
"25",613.342168674699,172.824096385542,102.35421686747,299,89,51,614843.544473546,52142.9230894593,17406.9152901461
"26",589.477108433735,183.086746987952,104.187951807229,381,93,58,371355.274233165,41461.596321518,12761.5442989349
"27",587.192771084337,174.946987951807,100.122891566265,367,101,55,333660.576276119,31719.4319655433,10588.9727838892
"28",555.718072289157,165.407228915663,96.2024096385542,253,67,42,579485.874431058,65042.1598509982,21609.40820674
"29",654.156626506024,181.026506024096,103.368674698795,329,100,57,527589.021302602,38662.5427739945,12417.4265525872
"30",572.320481927711,167.065060240964,97.8457831325301,289,80,48,455603.092695419,37819.5682207089,14889.6621500495
"31",594.703614457831,183.180722891566,103.402409638554,319,97,55,426605.643827484,43495.9503521332,13360.5502357255
"32",544.949397590361,166.744578313253,97.9325301204819,260,76,47,544485.212409056,64777.1664862348,18379.2369827135
"33",602.01686746988,168.296385542169,102.607228915663,351,102,63,364854.031115767,28020.7790931843,10380.1907688726
"34",567.175903614458,162.279518072289,98.8602409638554,343,95,56,293988.150142599,24507.5545311682,9200.27027530412
"35",605.530120481928,173.26265060241,99.5518072289157,330,90,58,408952.148245155,35244.0492055177,10222.2768988999
"36",603.522891566265,176.896385542169,99.8168674698795,331,93,53,417854.481962633,38628.7646004307,11476.3721785694
"37",638.110843373494,174.322891566265,104.58313253012,326,92,53,585631.659181654,42675.9051510389,15456.3982655259
"38",585.884337349398,169.431325301205,99.0048192771084,357,96,62,364589.131517374,31655.347325534,9573.47340667016
"39",610.590361445783,173.233734939759,98.8602409638554,315,91,58,475528.846283685,39446.5370234561,11960.5794540481
"40",682.855421686747,186.387951807229,112.21686746988,409,109,65,483792.940399278,42026.571352075,15958.1460916128
"41",588.718072289157,162.161445783133,99.9518072289157,294,87,49,427229.125638787,29597.4255631221,13063.6595075956
"42",630.597590361446,182.61686746988,102.867469879518,328,93,55,521566.666177755,46277.0195215645,12998.9413305396
"43",588.236144578313,173.233734939759,95.7855421686747,312,90,50,402303.364390897,35839.3244630697,10618.2848146208
"44",568.698795180723,155.985542168675,95.3710843373494,298,81,50,421937.62644782,32435.2896455387,11567.485152203
"45",592.310843373494,185.609638554217,100.33734939759,326,99,54,369712.267877306,41869.808602526,11620.7216692858
"46",580.812048192771,161.15421686747,93.766265060241,330,90,51,392863.954926954,29165.4157732379,10083.1312263547
