"","avg_1","avg_2","avg_3","med_1","med_2","med_3","var_1","var_2","var_3"
"1",762.761445783133,183.192771084337,118.44578313253,741,177,121,69368.4332925906,4096.90477853443,1655.44089401083
"2",755.525301204819,180.61686746988,117.257831325301,732,176,119,71002.7861940516,4234.19826552587,1674.41886968162
"3",765.248192771084,183.040963855422,119.106024096386,740,179,120,59943.4285897212,3545.07319713637,1538.43317618299
"4",765.778313253012,182.320481927711,117.848192771084,745,176,119,68749.8009778243,3977.25694662709,1553.02762353763
"5",763.539759036145,182.522891566265,117.826506024096,738,176,120,67384.3166521157,4172.85394330947,1621.35630056458
"6",767.426506024096,184.269879518072,120.296385542169,739,180,124,65855.9263488737,3979.16370409173,1680.84672603457
"7",761.636144578313,182.067469879518,118.096385542169,738,177,121,69857.6523136022,3989.80220010477,1606.63319946452
"8",764.874698795181,183.734939759036,118.604819277108,744,178,119,69814.8779814912,4091.81363133694,1670.65988010011
"9",772.585542168675,185.55421686747,119.809638554217,754,183,120,71242.1852977126,4283.96746405913,1702.5989406903
"10",755.559036144578,180.159036144578,118.033734939759,737,178,119,60872.9572551074,3728.89735172574,1522.93122635469
"11",764.383132530121,183.118072289157,118.824096385542,744,179,122,69004.0340143181,4233.56331994645,1669.8264711018
"12",763.703614457831,183.378313253012,119.356626506024,736,178,121,75565.5713637157,4451.05218555381,1756.84352482393
"13",758.674698795181,182.236144578313,118.53734939759,746,176,120,57381.707933182,3554.64458413364,1419.68398812642
"14",755.720481927711,180.971084337349,116.69156626506,733,176,119,66129.2646760957,3936.28901693731,1598.71623304813
"15",769.228915662651,185.718072289157,119.171084337349,745,178,121,72669.7711425412,4578.80679820732,1700.29674640591
"16",766.207228915663,183.322891566265,118.787951807229,743,177,121,61076.3530877132,3583.53317036261,1420.75685932134
"17",763.255421686747,182.961445783133,118.959036144578,731,178,119,80540.195471742,5025.26421046505,1867.8799604214
"18",771.785542168675,186.265060240964,119.344578313253,747,179,122,66477.0819160701,4115.53343810023,1601.73846691112
