"","avg_1","avg_2","avg_3","med_1","med_2","med_3","var_1","var_2","var_3"
"1",765.473557692308,182.663461538462,119.170673076923,748.5,181,122.5,69451.3294196015,4139.97321594069,1733.03345111214
"2",760.302884615385,183.557692307692,118.180288461538,727.5,174,119,71224.6261121409,4388.53642261353,1629.85898401298
"3",771.100961538462,186.439903846154,119.995192307692,756.5,182,122,67099.0789388323,4163.14336770158,1612.89154309546
"4",771.201923076923,184.103365384615,119.884615384615,745,180.5,121,64215.5061167748,3712.83025370714,1628.07822057461
"5",766.399038461538,184.019230769231,118.706730769231,740,176,118,76089.4452038925,4689.30565338276,1795.38366543095
"6",764.418269230769,182.838942307692,118.586538461538,746,178,120,70738.253544949,4270.37158827618,1694.67683039852
"7",764.180288461538,183.713942307692,118.211538461538,731.5,177,120,66444.6830803985,4017.26978104727,1671.53104726599
"8",774.646634615385,185.997596153846,119.615384615385,759.5,182.5,123,61458.0700127433,3673.83854842447,1535.36978683967
"9",773.370192307692,186.694711538462,120.076923076923,750,182,121,70786.5084105653,4393.99091172382,1700.71214087118
"10",776.786057692308,186.120192307692,120.088942307692,752,179,120,68972.5878533364,4164.86262743281,1586.83785333642
"11",746.641826923077,179.384615384615,116.810096153846,725.5,174.5,117,84416.4954993049,5140.45894346617,2045.23372914736
"12",765.84375,183.543269230769,118.497596153846,746.5,176.5,122,62529.9827560241,3934.64390639481,1543.52770505097
"13",765.355769230769,183.009615384615,118.550480769231,755,181.5,122,63407.6225208526,3817.91316033364,1542.06009615385
"14",760.675480769231,182.048076923077,118.605769230769,735,175,121,71010.6197347081,4256.27238183503,1759.01529193698
"15",755.930288461538,181.490384615385,117.560096153846,739,178,120,66563.6119960612,4085.58063021316,1636.59878938832
"16",776.528846153846,184.685096153846,120.033653846154,760.5,180,121,56202.5196478221,3295.1078255329,1391.11693697868
"17",759.692307692308,183.177884615385,117.90625,724.5,174.5,119,70366.0544949027,4568.99478683967,1586.38396084337
"18",762.512019230769,182.492788461538,119.269230769231,736.5,176.5,121,68585.3637106117,4300.01440569972,1698.00444856348
"19",759.314903846154,182.064903846154,118.512019230769,733.5,176,121,70918.3319219184,4277.68011468953,1750.22636121409
"20",763.735576923077,183.596153846154,118.408653846154,736,180,121,76090.2817191844,4666.54494902688,1838.9265755329
"21",769.4375,185.632211538462,119.463942307692,735.5,178.5,122,60967.6346385542,3630.13187557924,1421.72881719184
"22",761.709134615385,182.233173076923,117.90625,744,176.5,119,73418.7850729842,4430.7671860519,1720.20082831325
"23",765.338942307692,183.201923076923,119.240384615385,757.5,178,122,62915.3089376738,3712.6531047266,1546.52520852641
"24",772.622596153846,184.997596153846,120.591346153846,758,184,124.5,69842.4813195088,4081.9156568582,1738.81573215941
"25",767.944711538462,184.608173076923,119.341346153846,745,178,122,78062.9535623262,4740.59549930491,1776.64946709917
"26",768.78125,183.581730769231,119.259615384615,741.5,176,120,77389.6074548193,4609.0390871177,1820.66978683967
"27",755.694711538462,181.911057692308,117.903846153846,713.5,171.5,117,71374.5644056997,4454.03303405931,1680.82446709917
"28",774.579326923077,186.389423076923,120.271634615385,757.5,183,121,62636.2924872567,3882.13232159407,1514.26579587581
"29",767.706730769231,184.411057692308,118.442307692308,740.5,179.5,120,62299.1571594069,3883.22098586654,1507.25449490269
"30",761.182692307692,182.591346153846,119.069711538462,732,177,121.5,68145.9231696015,4026.62778035218,1719.00958642261
"31",762.158653846154,182.367788461538,118.709134615385,734.5,174,122.5,72860.5675393883,4395.5391044949,1791.2718199722
"32",765.721153846154,183.567307692308,119.086538461538,743,182,120,66484.2979610751,4021.86533827618,1588.63827618165
"33",773.805288461538,184.665865384615,121.076923076923,747,179.5,123.5,65693.2318755792,4023.45194045412,1640.42780352178
"34",767.8125,184.091346153846,118.836538461538,740.5,177,120,65465.3912650602,3776.93139481001,1532.05514365153
"35",767.882211538462,183.858173076923,119.651442307692,729,174.5,121.5,74982.5860924467,4641.51477641335,1740.23725092678
"36",770.653846153846,184.973557692308,120.502403846154,741.5,176.5,122,66971.7738646895,4028.54628707136,1637.4265002317
"37",777.189903846154,187.081730769231,120.920673076923,753,180,123,65666.949391798,4197.40535217794,1630.74790894347
"38",771.858173076923,186.004807692308,119.394230769231,758,181,120.5,59795.4714029194,3654.98310936052,1402.1140871177
"39",763.206730769231,181.774038461538,117.853365384615,740.5,177,119,65334.2896895273,3885.82833642261,1643.74471153846
"40",755.766826923077,180.088942307692,116.879807692308,729.5,174,117,61985.928631835,3818.59207020389,1489.69154309546
"41",757.762019230769,182.074519230769,117.894230769231,729.5,174,120,69614.9817829008,4258.94142145505,1687.95505097312
"42",767.84375,183.927884615385,119.418269230769,742,181,121,62341.4815512048,3604.15864226135,1504.90896663577
"43",772.625,184.483173076923,119.903846153846,749.5,180,122,70144.3265060241,4186.6985113531,1678.60278035218
"44",778.461538461538,186.288461538462,121.641826923077,763.5,181,124,81123.9069508804,4892.33104726599,1968.66417400371
"45",762.387019230769,183.697115384615,117.971153846154,734.5,177.5,120,66379.3751563948,4185.42129286376,1635.5702502317
"46",768.706730769231,183.079326923077,119.862980769231,750.5,178,123,73827.2728220575,4430.52622219648,1887.94021663577
"47",771.745192307692,185.502403846154,120.137019230769,756.5,178.5,123,72927.9638322521,4409.40240384615,1761.34262627433
"48",767.112980769231,184.536057692308,119.115384615385,735,178,121,70174.1727467563,4134.76978104727,1700.29026876738
"49",764.504807692308,182.889423076923,119.78125,746,177,120,74817.7782900834,4461.16846617238,1723.35203313253
"50",765.528846153846,183.550480769231,119.382211538462,740.5,180,122,65883.628081557,3956.73961422614,1622.3812731696
"51",755.858173076923,182.043269230769,117.165865384615,709.5,174.5,116.5,61625.5051378591,3755.40053290083,1445.20856696015
"52",772.887019230769,185.127403846154,120.139423076923,751,180,122,62176.5775660334,3907.33553637627,1527.08894810009
"53",758.317307692308,181.853365384615,117.298076923077,745,176,119.5,71681.3834105653,4333.70615732159,1702.41214087118
"54",769.461538461538,184.15625,119.524038461538,752,180,121,71811.5792400371,4339.20685240964,1670.6500231696
"55",776.528846153846,185.778846153846,120.663461538462,750,178.5,121,64513.8738646895,3884.2015755329,1583.88164967563
"56",767.310096153846,184.588942307692,118.644230769231,733.5,177,122,65228.9758978221,4060.36315454124,1545.23697868397
"57",765.326923076923,184.387019230769,119.319711538462,737,176.5,121,67182.5434661724,4173.49563832252,1705.67826112141
"58",772.682692307692,183.757211538462,120.019230769231,749,177,121,69351.6436515292,4159.62042979611,1662.44300278035
"59",769.711538461538,184.418269230769,119.478365384615,754,178,120,73197.3575532901,4475.96438832252,1715.78266334569
"60",764.307692307692,183.682692307692,119.689903846154,748,179.5,121.5,66402.377386469,3955.62437442076,1681.28915083411
"61",766.836538461538,184.776442307692,119.598557692308,750.5,179.5,121.5,59909.6262279889,3773.79809430028,1441.61917863763
"62",761.471153846154,183.860576923077,117.507211538462,737.5,180,120,88720.5678405931,5340.91063484708,1962.07705630213
"63",759.694711538462,183.338942307692,118.435096153846,731,175.5,121,67638.4198273865,4043.88725092678,1522.26083758109
"64",761.086538461538,183.25,117.538461538462,732.5,176,119,77451.8479147359,4818.41927710843,1805.65634847081
"65",768.478365384615,184.956730769231,120.298076923077,760,179.5,124,64430.3272416589,3915.23667747915,1584.17599629286
"66",762.706730769231,182.548076923077,118.3125,739,176,119,74958.8680027803,4203.61696014829,1837.58885542169
"67",773.067307692308,184.379807692308,119.65625,745,180,120.5,65939.812326228,4028.42407321594,1563.35865963855
"68",765.752403846154,183.668269230769,119.5,743,179,121,74199.5746930028,4357.1812557924,1877.96626506024
"69",766.942307692308,184.086538461538,119.415865384615,740,180,121,64236.8882298424,3915.23104726599,1576.72543443003
"70",770.951923076923,185.34375,119.519230769231,747,182,122,58766.5326227989,3625.37793674699,1427.4984244671
"71",765.591346153846,183.206730769231,117.961538461538,746,177.5,120,64263.7892261353,3851.10414735867,1555.31899907322
"72",763.983173076923,183.375,119.03125,737,177,121,79635.7033306302,4707.6421686747,1835.30745481928
"73",769.163461538462,184.423076923077,119.620192307692,753,179,122,67236.9804448564,4151.83503243744,1612.01925393883
