"","avg_1","avg_2","avg_3","med_1","med_2","med_3","var_1","var_2","var_3"
"1",952.413461538462,194.319711538462,128.834134615385,402,77.5,59.5,1724982.32984245,66926.3963334106,29231.9410970806
"2",959.262019230769,212.651442307692,139.860576923077,420,84,59,1502260.55527688,104784.285443698,34958.7660565338
"3",983.723557692308,221.108173076923,141.512019230769,405,85,59.5,1825069.50170876,90842.4388727989,35352.8335901297
"4",1001.375,229.384615384615,131.076923076923,393,87,54.5,1832432.62048193,102391.615569972,29508.7844300278
"5",958.221153846154,227.959134615385,135.548076923077,422,95,54.5,1635076.12928638,110147.499530816,38362.0892493049
"6",961.048076923077,214.384615384615,130.538461538462,350,87,51.5,1992767.14949027,82856.5746061168,32039.8394810009
"7",949.257211538462,223.78125,140.307692307692,387,88.5,58,1764875.20356233,105756.942394578,37275.4376274328
"8",997.841346153846,209.923076923077,129.225961538462,425,86,54,1820372.99645505,78111.4543095459,31254.3970111214
"9",1011.17788461538,212.966346153846,123.209134615385,377,90,52,2158063.44297961,92473.1024791474,28124.262181418
"10",957.235576923077,222.699519230769,134.4375,342.5,87.5,56,1971517.70822521,109350.080578082,33117.6731927711
"11",930.221153846154,231.350961538462,131.216346153846,341.5,85,58,1869748.85699722,117552.262071362,39248.2711538462
"12",990.713942307692,222.639423076923,131.875,385.5,83,55,1788941.35170876,123740.520273401,38922.1144578313
"13",999.242788461538,209.942307692308,131.992788461538,357.5,86.5,64,2255625.73609245,92257.4713623726,32158.0842852178
"14",920.653846153846,238.862980769231,132.271634615385,407,86.5,57.5,1479781.49916589,135528.330578082,33188.2079645505
"15",970.473557692308,225.528846153846,125.03125,390,91.5,50,1693734.29327502,90849.7919369787,29106.9026355422
"16",1025.05769230769,220.040865384615,139.110576923077,422,89,57,1968039.50509731,102828.45856696,38704.8793095459
"17",942.548076923077,226.995192307692,139.043269230769,373.5,85,54.5,1646065.9639481,99790.9300973123,38047.8872798888
"18",943.925480769231,237.96875,135.091346153846,407,92.5,55,1955039.07154194,128895.558057229,36888.7482622799
"19",978.394230769231,220.235576923077,134.853365384615,452,90,58,1631166.31649676,94350.3877432808,29830.8242296107
"20",962.887019230769,215.024038461538,133.713942307692,419.5,89,56,1850902.53901182,81656.9632761816,32112.9276123726
"21",968.350961538462,201.939903846154,131.358173076923,331.5,83.5,48,2271219.74158943,79109.7048134847,32286.9244149676
"22",1023.76201923077,221.793269230769,146.689903846154,414,96,60.5,1997528.55286724,86222.7957136237,38540.0216809546
"23",983.399038461538,221.901442307692,135.935096153846,361.5,84.5,52.5,1977189.73436052,103533.486648517,37161.7813195088
"24",1011.64423076923,221.105769230769,134.117788461538,384,82.5,52,2110157.54059314,111027.834569045,40646.3258514829
"25",960.276442307692,229.875,131.043269230769,418.5,86.5,59.5,1749639.94508225,100495.280722892,31687.3764365153
"26",991.444711538462,216.894230769231,137.213942307692,402,85.5,60,1604586.93187558,90308.928544949,34154.6071304449
"27",946.286057692308,206.783653846154,130.504807692308,399,93.5,57.5,1675702.95652804,73910.2518767377,32886.3035912882
"28",973.966346153846,220.622596153846,134.745192307692,346,86.5,49.5,2162483.30006951,101151.474090593,40344.0698563485
"29",937.201923076923,217.711538461538,135.242788461538,441,98,60.5,1576326.26274328,76157.0394810009,26447.0180201576
"30",994.887019230769,205.103365384615,125.478365384615,396,100.5,55,1855302.85708411,61986.5362778035,27146.6356753939
"31",978.045673076923,222.4375,131.579326923077,380,85,54,1844201.24851135,126906.473192771,31549.2900776182
"32",990.903846153846,226.487980769231,135.694711538462,394.5,99.5,54.5,1773004.9931418,91267.9902166358,32349.6824779889
"33",969.449519230769,217.425480769231,122.795673076923,408.5,89.5,57.5,1834742.81672266,88392.4956383225,32361.0593547266
"34",1005.82211538462,221.300480769231,145.165865384615,418.5,85,60.5,2050977.19719648,89039.4203371177,38198.8856753939
"35",1011.06730769231,239.180288461538,141.901442307692,392,89,57.5,2093480.33762743,111697.218020158,42969.6264075533
"36",981.608173076923,220.189903846154,129.567307692308,360.5,84,49.5,1952142.35453545,107436.756620714,32061.1569045412
"37",951.605769230769,221.927884615385,131.788461538462,419.5,90,55,1680384.60565338,100776.004425394,33069.6322520853
"38",993.084134615385,226.935096153846,138.574519230769,423,87.5,57,1690993.12784407,108271.111439991,34656.5293732623
"39",959.925480769231,208.612980769231,130.038461538462,405.5,86,50,1770790.49322868,85282.0691322984,33062.5575532901
"40",1014.37019230769,225.889423076923,132.507211538462,422.5,90,52,2197961.78069972,89554.7347312326,28738.3854900371
